epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,659.535,1.87,2.744,1.40594,0.60598,0.35812,0.41048,0.20313,1.73807,2.02231,1.30665,0.000414187,0.000414187,0.000414187
2,1303.68,1.71743,1.77858,1.30371,0.6553,0.44922,0.51016,0.26315,1.67846,1.62615,1.26694,0.000814402,0.000814402,0.000814402
3,2978.5,1.69105,1.61351,1.28809,0.62612,0.48271,0.51122,0.26218,1.62634,1.57862,1.25069,0.00119812,0.00119812,0.00119812
4,3630.93,1.64775,1.47369,1.25581,0.68139,0.49909,0.54645,0.28349,1.64644,1.44055,1.24647,0.00117575,0.00117575,0.00117575
5,4286.1,1.61956,1.42198,1.24577,0.77151,0.50125,0.5779,0.3035,1.60211,1.42327,1.23664,0.001151,0.001151,0.001151
6,4980.89,1.60308,1.35333,1.22913,0.72271,0.53177,0.58369,0.30888,1.5975,1.3236,1.22688,0.00112625,0.00112625,0.00112625
7,5662.14,1.56221,1.26651,1.21728,0.7682,0.52717,0.61686,0.32641,1.5892,1.25666,1.23254,0.0011015,0.0011015,0.0011015
8,6301.04,1.56811,1.23347,1.20266,0.78637,0.55385,0.63237,0.3403,1.54895,1.18321,1.20229,0.00107675,0.00107675,0.00107675
9,6800.88,1.52995,1.1536,1.18754,0.77871,0.59063,0.66209,0.35966,1.53856,1.10712,1.20072,0.001052,0.001052,0.001052
10,7290.96,1.52395,1.1555,1.18655,0.77883,0.57962,0.64951,0.3495,1.53878,1.13068,1.19158,0.00102725,0.00102725,0.00102725
11,7792.22,1.49534,1.11301,1.17389,0.81656,0.57106,0.65521,0.36035,1.5175,1.13711,1.18458,0.0010025,0.0010025,0.0010025
12,8278.55,1.48054,1.06953,1.17554,0.80101,0.58511,0.67769,0.36196,1.52462,1.07781,1.18082,0.00097775,0.00097775,0.00097775
13,8762.76,1.46377,1.03136,1.1537,0.82351,0.61958,0.69748,0.37953,1.49335,1.00854,1.17,0.000953,0.000953,0.000953
14,9261.83,1.45462,1.02558,1.15341,0.80876,0.59721,0.68357,0.37162,1.49817,1.04711,1.16778,0.00092825,0.00092825,0.00092825
15,9759.2,1.44635,1.01838,1.15082,0.84432,0.59579,0.68871,0.38237,1.49386,0.98628,1.16374,0.0009035,0.0009035,0.0009035
16,10269.7,1.45812,0.9991,1.14566,0.81334,0.60477,0.68893,0.36708,1.52197,1.02509,1.17248,0.00087875,0.00087875,0.00087875
17,10773.1,1.4396,0.98179,1.14048,0.79311,0.59756,0.68216,0.37166,1.49625,1.03068,1.15994,0.000854,0.000854,0.000854
18,11255.7,1.41616,0.97313,1.1378,0.82341,0.62261,0.70696,0.38268,1.48817,0.97333,1.158,0.00082925,0.00082925,0.00082925
19,11747.7,1.41731,0.94905,1.13003,0.8425,0.62629,0.71576,0.39277,1.47471,0.95065,1.15518,0.0008045,0.0008045,0.0008045
20,12233.7,1.40039,0.94488,1.12764,0.8561,0.61938,0.71379,0.3971,1.47413,0.94772,1.15697,0.00077975,0.00077975,0.00077975
21,12705.3,1.41855,0.93947,1.12873,0.84397,0.61105,0.71047,0.39049,1.47659,0.94304,1.15015,0.000755,0.000755,0.000755
22,13205,1.39355,0.91181,1.12108,0.85331,0.63287,0.71766,0.39415,1.45697,0.9182,1.14735,0.00073025,0.00073025,0.00073025
23,13711.4,1.37489,0.88839,1.10714,0.84,0.6382,0.72537,0.4018,1.44953,0.91203,1.14245,0.0007055,0.0007055,0.0007055
24,14224.5,1.3699,0.88182,1.10644,0.83287,0.64287,0.7223,0.3975,1.45784,0.91337,1.14311,0.00068075,0.00068075,0.00068075
25,14728.2,1.37598,0.88257,1.10564,0.82506,0.64601,0.72167,0.40173,1.44595,0.9122,1.14098,0.000656,0.000656,0.000656
26,15224.4,1.35522,0.86433,1.10109,0.82816,0.63714,0.72011,0.40034,1.44165,0.92268,1.13342,0.00063125,0.00063125,0.00063125
27,15718.7,1.35674,0.85607,1.09502,0.82484,0.64373,0.72753,0.40997,1.44399,0.88361,1.1383,0.0006065,0.0006065,0.0006065
28,16209.1,1.35685,0.84345,1.09714,0.82848,0.65839,0.73751,0.41144,1.44642,0.87198,1.13582,0.00058175,0.00058175,0.00058175
29,16701.8,1.31798,0.82122,1.09494,0.84367,0.65236,0.73584,0.4104,1.44581,0.87875,1.13892,0.000557,0.000557,0.000557
30,36435.1,1.33985,0.83251,1.09038,0.83638,0.6459,0.73253,0.4077,1.44357,0.90184,1.13406,0.00053225,0.00053225,0.00053225
